"","id","age","gender","race1","race2","race3","race4","race5","race6","race7","timestamp","local_date","SurveyNumber","Day_Number","has_data","t0","t_cen","t_hr","cond_tail","cond_basic","phone","video","text","interact","relat","caredfor","respected","supported","resp","conn","LS1_pre","LS2_pre","LS3_pre","LS4_pre","LS5_pre","LS_pre","LS1_post","LS2_post","LS3_post","LS4_post","LS5_post","LS_post","Path1_pre","Agen1_pre","Path2_pre","Path3_pre","Path4_pre","Agen2_pre","Agen3_pre","Agen4_pre","Agency_pre","Pathways_pre","Hope_pre","Path1_post","Agen1_post","Path2_post","Path3_post","Path4_post","Agen2_post","Agen3_post","Agen4_post","Agency_post","Pathways_post","Hope_post"
"1",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588009498,"4/27/2020 10:44",1,1,TRUE,1588009498,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,6,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"2",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588014111,"4/27/2020 12:01",2,1,TRUE,1588009498,4613,1.28138888888889,0,0,0,0,0,1,7,4,4,4,4,6,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"3",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588021663,"4/27/2020 14:07",3,1,TRUE,1588009498,12165,3.37916666666667,0,0,0,0,0,1,7,4,4,4,4,6,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"4",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588026520,"4/27/2020 15:28",4,1,FALSE,1588009498,17022,4.72833333333333,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"5",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588032407,"4/27/2020 17:06",5,1,TRUE,1588009498,22909,6.36361111111111,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,7,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"6",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588039139,"4/27/2020 18:58",6,1,TRUE,1588009498,29641,8.23361111111111,0,0,0,0,0,1,7,4,4,4,4,4,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"7",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588094127,"4/28/2020 10:15",7,2,TRUE,1588009498,84629,23.5080555555556,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,4,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"8",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588101040,"4/28/2020 12:10",8,2,TRUE,1588009498,91542,25.4283333333333,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,4,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"9",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588107524,"4/28/2020 13:58",9,2,TRUE,1588009498,98026,27.2294444444444,0,0,0,0,1,1,7,5,5,5,5,NA,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
"10",19182,21,2,1,NA,NA,NA,NA,NA,NA,1588112578,"4/28/2020 15:22",10,2,TRUE,1588009498,103080,28.6333333333333,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,4,4,4,4,4,5,4.2,4,3,4,4,4,3.8,4,4,2,1,4,4,4,4,4,2.75,3.375,4,4,3,4,4,4,4,5,4.25,3.75,4
