id	week	day	well	awake	relaxed	pleased	bold	energetic	extraverted	talkative	study_burden	study_interfere	study_annoy	time001	good	calm	rested	happy	not_shy	envious	compliance	flag	quiet	bashful	withdrawn	careless	disorganized	inefficient	sloppy	unsympathetic	harsh	relaxed_personality	rude	uncreative	unintellectual	cold	beep
QOZIU	1	1	2	1	6	2	3	1	4	3	NA	NA	NA	2	2	6	1	3	4	2	1	0	5	1	2	4	1	4	4	2	2	3	2	5	2	3	NA
LAHMZ	1	1	5	4	5	4	1	1	1	1	NA	NA	NA	5	4	2	3	6	5	5	1	0	4	1	1	3	1	1	1	1	1	3	1	2	3	1	NA
EVIIS	1	1	4	3	3	4	3	2	3	4	NA	NA	NA	2	5	3	3	4	4	1	1	0	2	2	3	2	2	3	1	5	4	2	3	4	2	2	NA
FOWMF	1	1	6	4	4	4	3	3	4	4	NA	NA	NA	4	5	6	3	5	5	3	1	0	4	1	1	2	3	2	3	2	2	2	2	4	2	3	NA
WYECB	1	1	5	2	2	2	4	1	4	3	NA	NA	NA	9	5	3	2	4	5	1	1	0	3	1	1	3	2	2	1	3	4	2	2	4	1	2	NA
ASRXX	1	1	6	5	5	6	1	1	3	2	NA	NA	NA	5	6	5	6	6	3	1	1	0	5	1	3	2	2	5	4	1	2	4	1	4	3	2	NA
QBAET	1	1	4	2	2	4	1	3	1	1	NA	NA	NA	5	4	4	2	4	3	1	1	0	5	1	3	1	2	2	1	5	1	5	1	1	1	2	NA
DGWFM	1	1	4	1	3	5	3	4	1	5	NA	NA	NA	6	5	4	1	5	4	1	1	0	5	2	2	1	1	1	1	1	1	5	1	1	1	1	NA
QBAET	1	1	4	3	4	4	1	4	1	1	NA	NA	NA	2	3	4	4	4	3	1	1	0	4	1	3	2	4	1	1	5	1	3	1	2	1	2	NA
TSCIV	1	1	6	5	7	5	3	4	3	4	NA	NA	NA	2	7	5	3	5	5	1	1	0	2	1	2	5	3	2	1	1	1	4	1	3	2	2	NA
LAHMZ	1	1	4	2	4	3	2	1	1	3	NA	NA	NA	2	3	7	2	4	5	1	1	0	5	1	1	2	1	5	1	1	1	4	1	4	2	2	NA
EMUAW	1	1	4	2	5	3	1	2	1	2	NA	NA	NA	3	4	6	2	4	4	3	1	0	5	1	4	1	3	3	2	1	1	2	1	2	2	3	NA
IHUCJ	1	1	2	3	3	5	1	1	1	1	NA	NA	NA	4	2	3	3	5	5	1	1	0	5	1	2	4	2	5	1	1	1	5	1	1	2	1	NA
FOWMF	1	1	5	5	4	5	2	3	3	4	NA	NA	NA	1	5	5	5	5	5	1	1	0	4	1	2	3	3	2	2	1	1	4	1	2	2	1	NA
WYECB	1	1	7	6	6	6	3	4	4	5	NA	NA	NA	2	7	6	6	6	5	1	1	0	4	1	2	4	1	4	1	1	1	5	1	4	4	2	NA
ASRXX	1	1	4	6	3	4	1	3	1	1	NA	NA	NA	189	5	5	6	4	5	1	1	0	2	1	2	1	5	4	2	2	4	1	1	2	2	3	NA
LELPI	1	1	5	6	5	4	4	4	4	3	NA	NA	NA	3	6	5	1	4	4	4	1	0	4	2	4	3	1	1	2	3	1	3	2	2	2	2	NA
QOZIU	1	1	7	3	7	6	3	3	4	3	NA	NA	NA	1	7	7	3	6	4	1	1	0	4	4	5	1	1	1	1	2	1	4	1	5	1	3	NA
EVIIS	1	1	5	3	5	3	3	4	3	5	NA	NA	NA	2	3	4	3	5	4	1	1	0	4	5	2	4	1	1	1	1	1	4	1	4	1	1	NA
DGWFM	1	2	4	4	4	5	3	4	3	4	NA	NA	NA	307	5	3	4	5	4	2	1	0	2	1	2	4	1	1	1	1	1	3	1	1	1	1	NA
QBAET	1	2	2	1	5	4	1	1	1	1	NA	NA	NA	2	3	4	1	4	5	5	1	0	5	1	1	2	1	3	1	1	1	2	1	2	1	2	NA
AJRRR	1	2	6	2	5	3	1	1	1	2	NA	NA	NA	6	4	6	3	4	2	3	1	0	4	1	4	2	3	4	2	2	2	5	3	3	4	3	NA
QOZIU	1	2	7	5	7	7	1	1	1	1	NA	NA	NA	2	7	6	6	7	2	1	1	0	2	4	4	1	1	5	1	1	1	3	1	1	5	1	NA
ASRXX	1	2	5	4	6	4	1	3	3	1	NA	NA	NA	4	5	6	6	4	2	1	1	0	4	1	4	2	4	5	1	1	2	4	1	1	1	3	NA
EMUAW	1	2	7	5	7	7	1	1	1	1	NA	NA	NA	3	7	7	5	6	5	1	1	0	5	1	2	5	1	1	1	1	1	5	1	1	1	1	NA
EVIIS	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOWMF	1	2	6	1	6	4	4	2	3	3	NA	NA	NA	15	4	6	1	5	5	2	1	0	4	1	3	3	2	3	2	2	1	4	1	3	3	2	NA
LELPI	1	2	5	6	4	5	3	4	4	4	NA	NA	NA	3	5	3	3	5	5	2	1	0	1	1	1	2	2	2	1	2	4	2	2	2	1	2	NA
WYECB	1	2	6	2	2	4	4	2	4	4	NA	NA	NA	3	6	4	2	6	5	1	1	0	4	1	1	3	1	1	2	1	2	2	1	2	1	3	NA
TSCIV	1	2	5	1	7	6	1	1	1	1	NA	NA	NA	3	5	7	6	6	5	1	1	0	5	1	1	5	1	5	1	5	1	5	1	1	3	1	NA
LAHMZ	1	2	7	6	4	6	2	2	1	3	NA	NA	NA	5	6	3	5	5	5	1	1	0	4	1	3	2	3	3	2	1	1	3	1	2	2	2	NA
DGWFM	1	2	6	4	4	6	3	3	1	4	NA	NA	NA	3	6	6	4	5	5	1	1	0	3	1	1	3	1	2	1	1	1	2	1	1	1	1	NA
WYECB	1	2	5	2	3	3	1	4	5	5	NA	NA	NA	2	5	3	2	5	2	1	1	0	2	1	4	1	1	2	1	1	4	2	1	4	1	1	NA
LWQID	1	2	5	4	6	6	1	3	1	1	NA	NA	NA	3	6	4	6	5	4	1	1	0	4	1	3	4	1	1	1	1	2	4	1	1	1	1	NA
EMUAW	1	2	6	4	6	5	2	2	3	3	NA	NA	NA	1	5	6	5	5	4	1	1	0	4	2	3	3	2	2	1	1	1	4	1	3	1	1	NA
ASRXX	1	2	5	5	6	5	1	4	2	3	NA	NA	NA	9	5	5	6	4	5	1	1	0	4	1	2	3	2	3	2	2	1	4	1	4	2	4	NA
LAHMZ	1	2	6	5	4	5	3	4	2	4	NA	NA	NA	20	6	4	5	5	5	1	1	0	5	1	2	4	2	2	1	1	1	3	2	2	2	3	NA
QBAET	1	2	4	7	4	3	1	4	1	1	NA	NA	NA	2	4	4	2	3	5	1	1	0	2	1	1	1	1	2	2	1	1	2	1	2	2	4	NA
FOWMF	1	2	7	5	4	5	4	3	4	5	NA	NA	NA	1	7	7	4	6	5	1	1	0	3	1	1	3	2	3	1	1	1	5	1	3	1	2	NA
IHUCJ	1	2	2	4	3	2	1	1	1	4	NA	NA	NA	2	2	2	5	5	3	1	1	0	4	1	3	1	2	3	1	1	1	2	2	5	5	3	NA
LELPI	1	2	6	6	2	5	4	5	5	5	NA	NA	NA	6	6	2	3	6	5	4	1	0	1	1	1	3	2	2	1	1	1	3	1	3	1	2	NA
AJRRR	1	2	4	4	4	4	4	4	2	3	NA	NA	NA	3	4	4	4	4	3	3	1	0	2	1	3	3	3	3	3	3	3	3	3	3	3	3	NA
TSCIV	1	2	7	6	6	7	3	5	4	5	NA	NA	NA	3	7	4	6	6	5	1	1	0	2	1	1	4	2	2	1	1	1	5	1	1	3	2	NA
EVIIS	1	2	4	4	3	5	1	4	3	1	NA	NA	NA	1	5	6	4	4	5	1	1	0	4	1	3	3	5	1	1	1	2	2	1	4	5	3	NA
AJRRR	1	3	6	2	5	4	1	1	1	1	NA	NA	NA	2	5	5	2	4	3	1	1	0	4	1	3	2	1	5	3	1	1	4	1	4	4	3	NA
WYECB	1	3	7	4	7	5	1	1	2	2	NA	NA	NA	2	7	5	4	7	5	1	1	0	5	2	4	5	1	5	1	1	1	5	1	2	2	1	NA
TSCIV	1	3	6	2	5	6	3	2	4	4	NA	NA	NA	5	6	5	2	6	5	1	1	0	3	1	1	3	3	4	1	1	1	4	1	4	3	2	NA
LWQID	1	3	5	6	6	6	3	3	3	3	NA	NA	NA	4	6	6	6	6	5	5	1	0	5	1	2	2	1	1	1	1	3	4	1	1	1	3	NA
QOZIU	1	3	4	2	4	6	3	3	1	1	NA	NA	NA	1	4	5	2	4	5	1	1	0	4	1	1	3	1	1	2	1	4	3	1	5	2	4	NA
QBAET	1	3	4	4	6	5	1	1	1	1	NA	NA	NA	2	6	6	4	6	5	1	1	0	5	1	3	3	1	3	1	5	1	5	1	1	1	1	NA
LAHMZ	1	3	4	2	6	3	1	1	1	1	NA	NA	NA	6	5	6	2	4	5	1	1	0	5	2	1	5	1	3	1	3	1	5	1	1	2	2	NA
ASRXX	1	3	6	5	5	5	2	4	4	4	NA	NA	NA	6	5	5	5	5	5	1	1	0	3	1	1	4	4	2	1	1	1	3	1	2	1	3	NA
FOWMF	1	3	6	3	5	5	1	1	1	1	NA	NA	NA	2	5	5	2	5	5	1	1	0	5	1	1	5	1	5	1	1	1	5	1	1	1	1	NA
QOZIU	1	3	2	1	1	2	2	1	2	2	NA	NA	NA	2	2	4	1	2	2	1	1	0	5	3	5	1	4	1	1	1	4	2	2	1	2	2	NA
EMUAW	1	3	6	5	7	4	1	2	2	4	NA	NA	NA	2	6	7	5	5	5	5	1	0	4	1	2	4	2	2	2	1	1	5	1	2	1	1	NA
EVIIS	1	3	6	5	5	5	3	4	3	4	NA	NA	NA	1	6	5	4	6	4	2	1	0	2	4	3	3	2	3	2	1	2	2	2	4	2	2	NA
ASRXX	1	3	4	5	3	3	1	4	2	2	NA	NA	NA	3	5	3	5	5	5	1	1	0	2	1	1	2	4	4	2	2	2	2	2	5	2	3	NA
IHUCJ	1	3	3	6	4	5	1	3	1	3	NA	NA	NA	2	6	6	6	5	3	1	1	0	4	1	3	2	3	3	1	1	1	3	3	3	2	3	NA
LWQID	1	3	6	5	6	6	1	3	2	3	NA	NA	NA	3	6	6	5	5	5	1	1	0	3	1	2	1	1	1	1	2	1	4	1	1	1	3	NA
DGWFM	1	3	6	4	4	7	3	4	2	4	NA	NA	NA	1	6	4	7	7	2	1	1	0	4	4	1	3	1	5	2	1	1	4	1	5	3	1	NA
TSCIV	1	3	7	6	5	6	3	4	4	5	NA	NA	NA	2	6	3	6	6	5	1	1	0	2	1	1	4	3	2	1	1	1	4	1	4	3	2	NA
FOWMF	1	3	5	4	5	4	1	1	1	4	NA	NA	NA	1	5	5	4	5	5	1	1	0	5	1	1	3	1	5	3	1	1	3	1	5	3	1	NA
WYECB	1	3	7	6	6	6	5	5	5	5	NA	NA	NA	4	6	6	6	6	4	1	1	0	4	2	2	4	1	1	1	1	1	4	1	2	1	1	NA
EVIIS	1	4	6	3	6	5	1	2	3	2	NA	NA	NA	2	5	6	2	5	5	1	1	0	5	1	3	4	3	4	2	1	1	4	2	2	2	2	NA
TSCIV	1	4	3	1	5	5	1	1	1	1	NA	NA	NA	2	5	4	2	4	5	1	1	0	5	1	1	3	3	5	1	1	1	5	1	3	3	1	NA
WYECB	1	4	7	2	7	6	3	3	5	5	NA	NA	NA	18	6	7	3	6	4	1	1	0	5	1	2	5	5	4	2	1	1	5	1	4	5	1	NA
ASRXX	1	4	4	5	3	4	1	2	1	2	NA	NA	NA	2	4	5	5	4	5	1	1	0	5	1	1	1	4	4	3	2	1	4	2	4	2	3	NA
FOWMF	1	4	6	2	7	5	1	1	1	1	NA	NA	NA	3	6	7	2	6	5	1	1	0	5	1	3	3	3	3	1	1	1	5	1	5	3	1	NA
LAHMZ	1	4	6	4	4	5	2	4	2	2	NA	NA	NA	5	6	6	3	5	5	1	1	0	4	3	2	3	2	2	1	2	2	4	1	2	2	1	NA
QBAET	1	4	1	2	1	1	1	1	1	1	NA	NA	NA	3	1	4	3	2	5	5	1	0	1	1	5	1	1	1	2	1	1	1	1	1	3	5	NA
ASRXX	1	4	4	3	4	4	4	2	4	4	NA	NA	NA	11	4	4	3	4	4	3	1	0	2	4	2	2	4	4	2	2	2	2	2	4	3	2	NA
LWQID	1	4	5	5	5	5	1	3	1	3	NA	NA	NA	3	5	5	6	5	4	5	1	0	4	1	1	3	4	2	1	1	3	4	1	1	1	3	NA
EVIIS	1	4	6	5	5	6	2	3	3	2	NA	NA	NA	2	6	5	5	6	5	1	1	0	4	1	2	4	2	4	1	1	2	4	2	2	2	3	NA
QOZIU	1	4	5	4	6	5	1	1	1	1	NA	NA	NA	1	6	7	4	5	3	3	1	0	2	1	1	5	1	3	1	1	1	5	1	5	5	2	NA
EMUAW	1	4	5	5	5	4	1	2	1	2	NA	NA	NA	2	4	6	6	5	5	5	1	0	4	2	2	3	4	4	1	1	1	3	1	2	2	2	NA
IHUCJ	1	4	5	4	3	5	1	1	1	3	NA	NA	NA	2	5	3	4	5	2	1	1	0	4	3	4	2	1	3	2	1	1	2	1	3	3	3	NA
LAHMZ	1	4	6	2	4	5	1	2	1	1	NA	NA	NA	2	5	7	4	5	5	1	1	0	4	1	3	4	2	2	2	1	1	4	2	2	3	2	NA
TSCIV	1	4	3	4	4	3	2	2	3	2	NA	NA	NA	2	3	3	4	3	5	1	1	0	2	1	3	2	2	3	1	2	1	4	1	2	3	1	NA
FOWMF	1	4	4	4	2	2	4	5	4	3	NA	NA	NA	1	4	2	4	3	5	1	1	0	2	1	1	4	2	2	3	3	4	1	3	2	3	4	NA
DGWFM	1	4	5	4	1	4	3	2	1	3	NA	NA	NA	2	5	1	5	5	5	1	1	0	4	1	2	1	5	4	1	1	1	1	1	3	3	1	NA
CJAWY	1	1	4	3	3	3	2	2	1	1	NA	NA	NA	3	4	3	3	4	3	1	1	0	5	4	4	1	1	2	2	2	1	2	2	3	3	2	NA
KWTES	1	1	6	4	6	6	2	5	3	2	NA	NA	NA	1	6	6	4	7	2	1	1	0	5	1	4	4	1	1	1	1	1	4	1	2	2	2	NA
FTUOX	1	1	5	4	6	5	3	2	2	3	NA	NA	NA	19	6	6	5	5	3	2	1	0	4	3	2	3	2	4	2	3	1	4	1	3	1	2	NA
OSCYQ	1	1	6	3	5	6	1	1	3	1	NA	NA	NA	3	6	6	5	5	3	2	1	0	4	1	3	2	2	5	1	2	2	5	2	2	2	2	NA
MDMCL	1	1	4	4	2	4	1	3	2	1	NA	NA	NA	1	4	3	5	3	5	1	1	0	4	1	2	2	4	4	2	1	3	3	1	4	1	1	NA
LMGCR	1	1	4	4	3	5	2	2	2	2	NA	NA	NA	3	6	6	3	5	4	1	1	0	4	1	4	4	1	1	1	1	1	4	1	1	2	2	NA
BOZNY	1	1	6	4	6	6	1	2	1	1	NA	NA	NA	3	6	6	6	6	5	1	1	0	5	1	2	4	2	3	1	1	1	5	1	4	3	1	NA
RBVNQ	1	1	6	5	5	6	3	3	3	4	NA	NA	NA	2	6	6	4	6	5	1	1	0	2	2	2	1	3	2	2	2	2	4	1	2	2	2	NA
OJCPD	1	1	5	1	6	4	1	1	2	2	NA	NA	NA	88	4	6	1	4	4	3	1	0	5	1	2	2	4	3	3	2	1	4	1	2	2	2	NA
DGWFM	1	5	7	4	1	5	5	5	3	5	NA	NA	NA	350	5	1	5	5	5	5	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
VGVRW	1	1	5	2	2	5	2	4	3	2	NA	NA	NA	7	5	5	2	4	3	5	1	0	4	2	4	3	2	2	2	4	2	4	1	2	1	3	NA
JNSMC	1	1	4	6	3	5	4	4	3	1	NA	NA	NA	1	4	4	5	5	5	2	1	0	2	1	2	3	3	2	2	1	1	1	1	1	3	2	NA
SOIRZ	1	1	5	3	5	5	3	5	3	3	NA	NA	NA	4	6	5	3	5	5	2	1	0	4	1	1	4	1	1	1	1	1	4	1	1	1	1	NA
LHLJV	1	1	4	4	4	5	5	3	3	4	NA	NA	NA	2	4	4	4	4	5	3	1	0	1	1	2	5	5	3	1	1	1	1	1	1	5	1	NA
YQRYO	1	1	7	6	5	7	2	3	5	4	NA	NA	NA	7	7	6	6	6	5	1	1	0	5	1	3	5	4	1	1	1	1	5	1	1	1	3	NA
RYPDG	1	1	1	4	1	3	2	2	3	1	NA	NA	NA	2	3	1	6	2	3	1	1	0	2	1	2	1	4	4	1	2	3	1	1	1	2	4	NA
RGTLV	1	1	7	3	6	7	2	4	2	2	NA	NA	NA	3	6	7	4	7	4	1	1	0	5	1	1	5	1	2	1	1	1	5	1	2	2	2	NA
ZBMLR	1	1	5	2	4	4	4	4	3	4	NA	NA	NA	3	5	5	2	4	5	1	1	0	3	1	2	3	1	2	1	1	2	2	1	3	1	1	NA
EXAQA	1	1	6	5	6	5	2	4	2	2	NA	NA	NA	3	5	6	5	5	5	3	1	0	5	1	3	2	3	2	2	2	1	5	2	3	3	2	NA
XJBMN	1	1	6	2	6	6	2	1	1	2	NA	NA	NA	4	5	6	3	5	4	1	1	0	5	1	2	4	2	4	1	2	1	5	1	3	2	2	NA
QBAET	1	5	4	4	3	4	1	2	1	1	NA	NA	NA	7	4	4	3	4	5	1	1	0	4	1	2	2	1	2	1	1	1	4	1	1	1	1	NA
QWUUB	1	1	6	4	7	7	3	2	2	2	NA	NA	NA	2	7	7	7	1	4	1	1	0	2	1	2	3	3	5	4	2	2	5	1	5	1	1	NA
HXFWO	1	1	7	5	5	6	1	1	1	4	NA	NA	NA	2	7	6	6	7	5	1	1	0	3	1	3	3	2	3	1	1	3	3	1	2	1	1	NA
PWKFR	1	1	5	3	5	3	4	2	2	5	NA	NA	NA	2	6	5	2	3	2	1	1	0	4	2	2	1	3	2	2	3	5	2	3	4	5	2	NA
KAOLL	1	1	5	4	5	5	5	2	5	5	NA	NA	NA	2	6	5	4	5	1	1	1	0	2	5	4	3	4	5	5	2	1	3	1	2	2	2	NA
KUUXJ	1	1	5	6	6	6	2	4	3	4	NA	NA	NA	2	6	6	7	7	2	1	1	0	4	3	2	3	1	1	1	1	1	3	1	1	1	1	NA
SUUMJ	1	1	6	5	6	6	1	2	2	3	NA	NA	NA	3	6	6	2	5	4	1	1	0	4	1	3	4	1	1	1	1	1	3	1	3	1	1	NA
JGEKB	1	1	5	3	5	6	3	4	3	5	NA	NA	NA	20	6	7	3	5	5	2	1	0	3	2	1	4	2	4	2	2	2	5	1	3	3	2	NA
HIGFD	1	1	6	2	5	6	3	4	3	3	NA	NA	NA	5	5	6	5	5	3	1	1	0	5	1	3	5	1	2	1	1	1	4	1	4	1	1	NA
EMUAW	1	5	6	3	7	5	1	1	1	1	NA	NA	NA	2	7	7	7	6	5	5	1	0	3	1	1	1	1	1	1	1	1	4	1	1	1	1	NA
LUWRS	1	1	6	3	3	4	1	1	1	1	NA	NA	NA	2	6	1	1	7	5	5	1	0	5	1	1	1	1	5	1	1	1	4	1	1	1	1	NA
WOEWY	1	1	5	2	3	5	2	1	3	3	NA	NA	NA	69	5	4	2	4	4	1	1	0	4	2	2	4	4	2	2	2	2	2	1	2	2	5	NA
MNHLB	1	1	3	1	5	2	2	1	1	1	NA	NA	NA	2	3	5	1	3	1	3	1	0	5	2	5	2	2	3	4	3	1	4	1	5	4	5	NA
MGBRE	1	1	5	4	5	5	3	4	2	3	NA	NA	NA	8	5	5	5	4	3	2	1	0	4	3	4	3	2	2	1	2	1	2	2	3	2	3	NA
FOWMF	1	5	6	1	5	4	1	1	1	1	NA	NA	NA	4	6	7	1	6	5	1	1	0	5	1	4	3	1	5	2	1	1	5	1	1	1	3	NA
VLFTC	1	1	4	5	3	5	2	3	3	3	NA	NA	NA	2	5	3	4	5	4	2	1	0	4	1	3	2	2	3	2	2	2	2	2	2	2	2	NA
RWIJR	1	1	5	5	5	5	3	4	4	3	NA	NA	NA	7	5	5	5	5	5	1	1	0	4	3	2	2	2	3	2	1	1	3	1	3	1	3	NA
EVIIS	1	5	5	5	4	6	3	4	3	4	NA	NA	NA	1	5	6	5	6	3	1	1	0	4	3	3	4	2	3	1	1	1	4	1	4	2	2	NA
WYECB	1	5	4	6	2	2	3	1	1	2	NA	NA	NA	6	5	3	5	4	5	1	1	0	3	3	4	2	5	5	4	2	4	2	4	4	4	1	NA
HFMWA	1	1	5	7	2	6	2	2	1	2	NA	NA	NA	1	3	2	2	6	4	2	1	0	4	2	2	2	4	4	4	2	4	4	2	2	4	4	NA
QMIQM	1	1	5	6	4	5	3	4	4	4	NA	NA	NA	80	5	4	2	4	3	2	1	0	3	2	2	1	1	1	1	1	3	3	1	1	1	1	NA
KKFSY	1	1	6	7	6	6	2	5	2	3	NA	NA	NA	3	6	7	7	6	3	1	1	0	4	4	3	2	3	5	3	2	3	5	3	5	1	3	NA
ASRXX	1	5	5	5	3	5	1	2	2	2	NA	NA	NA	2	5	3	5	4	3	1	1	0	2	1	2	1	4	5	2	1	1	2	1	4	3	3	NA
JQTPT	1	1	5	3	3	3	4	4	5	3	NA	NA	NA	1	4	3	3	4	4	5	1	0	3	3	3	2	2	3	1	3	2	3	1	3	3	3	NA
LAHMZ	1	5	5	4	3	3	2	2	3	4	NA	NA	NA	74	5	3	3	5	4	1	1	0	3	3	2	2	2	2	2	1	1	3	2	3	1	1	NA
SSCYI	1	1	4	3	2	2	3	2	2	3	NA	NA	NA	1	5	3	3	2	3	1	1	0	3	3	2	2	4	4	3	2	3	2	2	3	2	2	NA
IHUCJ	1	5	5	6	4	5	2	2	1	2	NA	NA	NA	3	6	5	6	5	4	1	1	0	3	2	3	2	1	3	1	1	1	3	1	3	1	2	NA
ERCLT	1	1	6	5	6	5	1	1	1	1	NA	NA	NA	2	6	7	5	5	5	2	1	0	5	1	1	4	1	4	1	1	1	5	1	1	1	2	NA
UVOFZ	1	1	4	6	4	6	1	4	3	4	NA	NA	NA	2	5	6	6	5	5	1	1	0	4	1	2	3	1	1	1	1	2	4	1	2	2	3	NA
YMWNT	1	1	6	5	6	5	2	3	3	2	NA	NA	NA	24	5	6	5	5	3	1	1	0	5	1	3	3	4	4	3	2	3	4	2	3	2	2	NA
PTYMY	1	1	2	2	1	1	2	4	1	2	NA	NA	NA	2	2	2	3	3	5	3	1	0	1	1	1	1	3	1	2	1	1	1	1	1	1	1	NA
QACKG	1	1	6	5	6	6	4	5	2	5	NA	NA	NA	2	7	7	6	6	5	2	1	0	3	1	2	4	1	1	1	2	1	3	2	4	1	2	NA
LRXVG	1	1	3	2	3	2	4	4	3	2	NA	NA	NA	2	3	6	2	2	5	3	1	0	4	2	2	2	1	2	1	3	2	2	2	1	2	2	NA
XDKXP	1	1	3	2	2	4	1	3	1	2	NA	NA	NA	21	3	6	2	4	2	1	1	0	4	1	2	2	1	2	1	1	1	2	1	4	2	2	NA
RCAXO	1	1	5	5	3	4	1	3	3	2	NA	NA	NA	4	3	2	3	4	3	1	1	0	5	1	3	3	2	2	1	1	1	3	1	2	2	1	NA
QOZIU	1	5	6	3	3	6	1	1	1	1	NA	NA	NA	1	6	6	2	6	3	1	1	0	3	3	3	1	1	3	1	1	1	2	1	5	3	3	NA
HJSHY	1	1	7	3	6	6	4	4	4	4	NA	NA	NA	5	6	7	2	6	4	1	1	0	5	2	2	5	1	2	1	1	1	5	1	4	1	2	NA
QCQJI	1	1	6	6	6	7	3	3	4	4	NA	NA	NA	2	6	6	5	7	5	1	1	0	3	1	2	4	1	2	1	1	1	4	1	2	2	1	NA
BZOPC	1	1	7	5	6	7	1	2	1	1	NA	NA	NA	4	7	7	6	5	5	1	1	0	5	1	1	5	1	1	1	1	1	5	1	1	1	1	NA
XZWKK	1	1	6	3	5	6	3	3	3	4	NA	NA	NA	2	6	5	5	6	4	1	1	0	4	1	2	4	2	2	1	1	1	4	2	1	1	3	NA
LVTFJ	1	1	7	3	7	7	4	1	2	2	NA	NA	NA	3	7	7	5	5	5	2	1	0	5	1	4	2	2	1	1	1	1	5	1	2	1	1	NA
QADCX	1	1	6	6	6	6	3	5	2	1	NA	NA	NA	5	7	5	6	6	4	1	1	0	3	1	2	4	1	1	1	1	1	3	1	1	1	2	NA
PGLNX	1	1	5	2	3	6	4	5	3	4	NA	NA	NA	89	6	5	5	5	3	1	1	0	4	3	3	2	4	3	2	2	1	3	3	1	2	1	NA
TOBOE	1	1	4	1	2	2	3	2	3	3	NA	NA	NA	4	3	2	2	4	3	1	1	0	2	3	4	1	3	5	3	2	3	1	3	5	3	3	NA
TZHYY	1	1	4	3	3	2	2	3	3	2	NA	NA	NA	2	3	4	4	4	5	1	1	0	2	1	1	2	4	2	2	2	4	1	2	3	3	1	NA
HMWXU	1	1	5	5	3	3	3	2	3	2	NA	NA	NA	6	5	5	5	5	4	2	1	0	5	2	2	4	2	2	2	2	2	5	2	2	2	2	NA
AYQGT	1	1	2	3	2	2	3	1	3	5	NA	NA	NA	2	4	1	2	4	3	3	1	0	2	3	2	1	5	4	3	2	2	1	2	3	1	1	NA
DGWFM	1	5	1	1	1	2	4	1	1	3	NA	NA	NA	64	1	1	3	4	5	1	1	0	3	1	1	1	3	1	1	1	1	1	1	1	3	5	NA
QOZIU	1	5	4	3	3	4	4	1	4	4	NA	NA	NA	1	4	7	3	4	5	1	1	0	5	1	1	2	5	5	5	1	3	3	1	5	5	3	NA
CJAWY	1	1	5	2	3	3	1	3	1	1	NA	NA	NA	2	5	3	2	4	2	3	1	0	5	2	4	1	2	2	1	3	1	2	3	4	1	4	NA
ERCLT	1	1	7	7	7	6	2	4	3	3	NA	NA	NA	1	7	7	6	5	5	2	1	0	5	1	1	4	1	1	1	1	1	4	1	4	1	1	NA
RCAXO	1	1	3	3	4	5	1	4	2	2	NA	NA	NA	19	5	4	3	5	3	1	1	0	3	1	3	3	2	2	1	1	1	3	1	3	2	4	NA
SOIRZ	1	1	5	2	5	5	4	3	3	4	NA	NA	NA	1	6	6	2	5	4	3	1	0	4	1	1	2	1	3	1	1	1	4	1	1	1	1	NA
FOWMF	1	5	6	5	6	5	1	2	2	3	NA	NA	NA	1	5	6	5	5	5	1	1	0	5	1	1	3	4	4	3	1	1	4	1	1	2	2	NA
RWIJR	1	1	6	6	6	6	3	4	3	1	NA	NA	NA	7	6	6	6	6	5	1	1	0	4	1	1	3	1	1	1	1	3	4	1	3	1	3	NA
RGTLV	1	1	6	3	6	6	1	3	1	2	NA	NA	NA	4	6	7	3	6	4	1	1	0	5	1	4	4	2	1	1	1	1	5	1	4	5	2	NA
YQRYO	1	1	6	6	6	6	1	1	1	2	NA	NA	NA	1	6	7	6	5	4	1	1	0	5	1	5	5	3	4	1	1	1	5	1	3	1	2	NA
QACKG	1	1	6	7	6	6	4	5	3	5	NA	NA	NA	2	6	6	6	6	5	2	1	0	2	1	1	4	1	2	1	2	1	4	2	2	2	2	NA
QADCX	1	1	5	5	2	4	1	4	1	1	NA	NA	NA	4	5	3	5	5	5	1	1	0	2	1	3	1	1	3	1	1	1	2	1	1	1	1	NA
VGVRW	1	1	5	5	3	5	1	2	2	1	NA	NA	NA	2	3	3	5	5	5	1	1	0	2	1	1	3	3	5	4	1	2	2	1	2	2	3	NA
QCQJI	1	1	4	3	2	4	1	1	1	1	NA	NA	NA	1	4	3	4	6	5	1	1	0	5	1	1	3	1	2	2	1	1	2	1	1	2	3	NA
XJBMN	1	1	5	5	4	4	2	2	2	4	NA	NA	NA	2	5	4	5	4	4	2	1	0	3	2	2	3	2	3	1	2	3	3	3	2	2	3	NA
HJSHY	1	1	7	2	6	6	1	2	2	2	NA	NA	NA	1	5	7	1	5	4	1	1	0	5	1	2	4	1	4	1	1	1	5	1	4	2	2	NA
QWUUB	1	1	7	6	7	6	3	4	4	4	NA	NA	NA	2	7	6	6	6	5	1	1	0	5	1	1	4	1	2	1	1	2	5	2	4	1	2	NA
